Music Box TV.

Понедельник, 15 апреля
5.00,6.00,7.00,8.00,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00,17.00,18.00,19.00,20.00,21.00,22.00,23.00,0.00,1.00,2.00,3.00,4.00 "Hit Box". (16+).

Вторник, 16 апреля
5.00,6.00,7.00,8.00,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00,17.00,18.00,19.00,20.00,21.00,22.00,23.00,0.00,1.00,2.00,3.00,4.00 "Hit Box". (16+).

Среда, 17 апреля
5.00,6.00,7.00,8.00,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00,17.00,18.00,19.00,20.00,21.00,22.00,23.00,0.00,1.00,2.00,3.00,4.00 "Hit Box". (16+).

Четверг, 18 апреля
5.00,6.00,7.00,8.00,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00,17.00,18.00,19.00,20.00,21.00,22.00,23.00,0.00,1.00,2.00,3.00,4.00 "Hit Box". (16+).

Пятница, 19 апреля
5.00,6.00,7.00,8.00,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00,17.00,18.00,19.00,20.00,21.00,22.00,23.00,0.00,1.00,2.00,3.00,4.00 "Hit Box". (16+).

Суббота, 20 апреля
5.00,6.00,7.00,8.00,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00,17.00,18.00,19.00,20.00,21.00,22.00,23.00,0.00,1.00,2.00,3.00,4.00 "Hit Box". (16+).

Воскресенье, 21 апреля
5.00,6.00,7.00,8.00,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00,17.00,18.00,19.00,20.00,21.00,22.00,23.00,0.00,1.00,2.00,3.00,4.00 "Hit Box". (16+).





























































