CBS Drama.

Понедельник, 15 апреля
7.00 Т/с "Плата не по заслугам", 134 с. (16+).
7.50 Т/с "Парадоксы любви", 96 с. (16+).
8.40 Т/с "Дымок из ствола", 15 с. (16+).
9.30 Т/с "Династия", 7 с. (16+).
10.20 Т/с "Мэтлок", 8 с. (16+).
11.10 Т/с "Тайны отца Даулинга", 10 с. (16+).
12.00 Т/с "Гавайи 5-0", 21 с. (16+).
12.50 Т/с "Дымок из ствола", 15 с. (16+).
13.40 Т/с "Новая Сумеречная Зона", 17 с. (16+).
14.05 Т/с "Новая Сумеречная Зона", 18 с. (16+).
14.30 Т/с "Династия", 7 с. (16+).
15.20 Т/с "Тайны отца Даулинга", 10 с. (16+).
16.10 Т/с "Мэтлок", 9 с. (16+).
17.00 Т/с "Гавайи 5-0", 22 с. (16+).
17.50 Т/с "Дымок из ствола", 16 c. (16+).
18.40 Т/с "4400", 6 с. (16+).
19.30 Т/с "Новая Сумеречная Зона", 17 с. (16+).
19.55 Т/с "Новая Сумеречная Зона", 18 с. (16+).
20.20 Т/с "Тайны отца Даулинга", 11 с. (16+).
21.10 Т/с "Династия", 8 с. (16+).
22.00 Т/с "4400", 1 с. (16+).
22.50 Т/с "Твин Пикс", 6 с. (16+).
23.40 Т/с "Новая Сумеречная Зона", 19 с. (16+).
0.10 Т/с "Новая Сумеречная Зона", 20 с. (16+).
0.35 Т/с "4400", 1 с. (16+).
1.30 Т/с "Твин Пикс", 6 с. (16+).
2.25 Т/с "Гавайи 5-0", 22 с. (16+).
3.20 Т/с "Мэтлок", 9 с. (16+).
4.15 Т/с "Прожить жизнь", 65 с. (16+).
5.10 Т/с "Моя Золушка", 95 с. (16+).
6.05 Т/с "Никогда не поздно?", 96 с. (16+).

Вторник, 16 апреля
7.00 Т/с "Плата не по заслугам", 135 с. (16+).
7.50 Т/с "Парадоксы любви", 97 с. (16+).
8.40 Т/с "Дымок из ствола", 16 c. (16+).
9.30 Т/с "Династия", 8 с. (16+).
10.20 Т/с "Мэтлок", 9 с. (16+).
11.10 Т/с "Тайны отца Даулинга", 11 с. (16+).
12.00 Т/с "Гавайи 5-0", 22 с. (16+).
