Фенiкс + Кiно.

Понедiлок, 15 квiтня
7.00 Т/с "Принцеса i жебрак", 8 с. (16+).
8.00 Т/с "Територiя краси", 27 с. (16+).
9.00 Т/с "Територiя краси", 28 с. (16+).
10.00 Т/с "Кохання як кохання", 106 с. (12+).
11.00 Т/с "Кохання як кохання", 107 с. (12+).
12.00 Т/с "Близнюки", 10 с. (16+).
13.00 Т/с "Останнiй день актриси Мариськiної". (16+).
14.00 Т/с "Євлампiя Романова: слiдство веде дилетант". Фiльм 2, 4 с. (12+).
15.00 Т/с "Принцеса i жебрак", 8 с. (16+).
16.00 Т/с "Територiя краси", 27 с. (16+).
17.00 Т/с "Територiя краси", 28 с. (16+).
18.00 Т/с "Кохання як кохання", 106 с. (12+).
19.00 Т/с "Кохання як кохання", 107 с. (12+).
20.00 Т/с "Близнюки", 10 с. (16+).
21.00 Т/с "Останнiй день актриси Мариськiної". (16+).
22.00 Т/с "Євлампiя Романова: слiдство веде дилетант". Фiльм 2, 4 с. (12+).
23.00 Т/с "Шахраї", 1 с. (12+).
0.00 Т/с "Територiя краси", 28 с. (16+).
1.00 Т/с "Територiя краси", 29 с. (16+).
2.00 Т/с "Кохання як кохання", 107 с. (12+).
3.00 Т/с "Кохання як кохання", 108 с. (12+).
4.00 Т/с "Близнюки", 11 с. (16+).
5.00 Т/с "Сiм дружин одного холостяка", 1 с. (16+).
6.00 Т/с "Євлампiя Романова: слiдство веде дилетант". Фiльм 3, 1 с. (12+).

Вiвторок, 16 квiтня
7.00 Т/с "Шахраї", 1 с. (12+).
8.00 Т/с "Територiя краси", 28 с. (16+).
9.00 Т/с "Територiя краси", 29 с. (16+).
10.00 Т/с "Кохання як кохання", 107 с. (12+).
11.00 Т/с "Кохання як кохання", 108 с. (12+).
12.00 Т/с "Близнюки", 11 с. (16+).
13.00 Т/с "Сiм дружин одного холостяка", 1 с. (16+).
14.00 Т/с "Євлампiя Романова: слiдство веде дилетант". Фiльм 3, 1 с. (12+).
15.00 Т/с "Шахраї", 1 с. (12+).
16.00 Т/с "Територiя краси", 28 с. (16+).
17.00 Т/с "Територiя краси", 29 с. (16+).
18.00 Т/с "Кохання як кохання", 107 с. (12+).
19.00 Т/с "Кохання як кохання", 108 с. (12+).
20.00 Т/с "Близнюки", 11 с. (16+).
