CBS Drama.

Понедiлок, 15 квiтня
7.00 Т/с "Плата не по заслугах", 134 с. (16+).
7.50 Т/с "Парадокси любовi", 96 с. (16+).
8.40 Т/с "Димок зi ствола", 15 с. (16+).
9.30 Т/с "Династiя", 7 с. (16+).
10.20 Т/с "Метлок", 8 с. (16+).
11.10 Т/с "Таємницi отця Даулiнга", 10 с. (16+).
12.00 Т/с "Гаваї 5-0", 21 с. (16+).
12.50 Т/с "Димок зi ствола", 15 с. (16+).
13.40 Т/с "Нова Сутiнкова Зона", 17 с. (16+).
14.05 Т/с "Нова Сутiнкова Зона", 18 с. (16+).
14.30 Т/с "Династiя", 7 с. (16+).
15.20 Т/с "Таємницi отця Даулiнга", 10 с. (16+).
16.10 Т/с "Метлок", 9 с. (16+).
17.00 Т/с "Гаваї 5-0", 22 с. (16+).
17.50 Т/с "Димок зi ствола", 16 с. (16+).
18.40 Т/с "4400", 6 с. (16+).
19.30 Т/с "Нова Сутiнкова Зона", 17 с. (16+).
19.55 Т/с "Нова Сутiнкова Зона", 18 с. (16+).
20.20 Т/с "Таємницi отця Даулiнга", 11 с. (16+).
21.10 Т/с "Династiя", 8 с. (16+).
22.00 Т/с "4400", 1 с. (16+).
22.50 Т/с "Твiн Пiкс", 6 с. (16+).
23.40 Т/с "Нова Сутiнкова Зона", 19 с. (16+).
0.10 Т/с "Нова Сутiнкова Зона", 20 с. (16+).
0.35 Т/с "4400", 1 с. (16+).
1.30 Т/с "Твiн Пiкс", 6 с. (16+).
2.25 Т/с "Гаваї 5-0", 22 с. (16+).
3.20 Т/с "Метлок", 9 с. (16+).
4.15 Т/с "Прожити життя", 65 с. (16+).
5.10 Т/с "Моя Попелюшка", 95 с. (16+).
6.05 Т/с "Нiколи не пiзно?", 96 с. (16+).

Вiвторок, 16 квiтня
7.00 Т/с "Плата не по заслугах", 135 с. (16+).
7.50 Т/с "Парадокси любовi", 97 с. (16+).
