Феникс + Кино.

Понедельник, 15 апреля
7.00 Т/с "Принцесса и нищий", 8 с. (16+).
8.00 Т/с "Территория красоты", 27 с. (16+).
9.00 Т/с "Территория красоты", 28 с. (16+).
10.00 Т/с "Любовь как любовь", 106 с. (12+).
11.00 Т/с "Любовь как любовь", 107 с. (12+).
12.00 Т/с "Близнецы", 10 с. (16+).
13.00 Т/с "Последний день актрисы Марыськиной". (16+).
14.00 Т/с "Евлампия Романова: следствие ведет дилетант". Фильм 2, 4 с. (12+).
15.00 Т/с "Принцесса и нищий", 8 с. (16+).
16.00 Т/с "Территория красоты", 27 с. (16+).
17.00 Т/с "Территория красоты", 28 с. (16+).
18.00 Т/с "Любовь как любовь", 106 с. (12+).
19.00 Т/с "Любовь как любовь", 107 с. (12+).
20.00 Т/с "Близнецы", 10 с. (16+).
21.00 Т/с "Последний день актрисы Марыськиной". (16+).
22.00 Т/с "Евлампия Романова: следствие ведет дилетант". Фильм 2, 4 с. (12+).
23.00 Т/с "Мошенники", 1 с. (12+).
0.00 Т/с "Территория красоты", 28 с. (16+).
1.00 Т/с "Территория красоты", 29 с. (16+).
2.00 Т/с "Любовь как любовь", 107 с. (12+).
3.00 Т/с "Любовь как любовь", 108 с. (12+).
4.00 Т/с "Близнецы", 11 с. (16+).
5.00 Т/с "Семь жен одного холостяка", 1 с. (16+).
6.00 Т/с "Евлампия Романова: следствие ведет дилетант". Фильм 3, 1 с. (12+).

Вторник, 16 апреля
7.00 Т/с "Мошенники", 1 с. (12+).
8.00 Т/с "Территория красоты", 28 с. (16+).
9.00 Т/с "Территория красоты", 29 с. (16+).
10.00 Т/с "Любовь как любовь", 107 с. (12+).
11.00 Т/с "Любовь как любовь", 108 с. (12+).
12.00 Т/с "Близнецы", 11 с. (16+).
13.00 Т/с "Семь жен одного холостяка", 1 с. (16+).
14.00 Т/с "Евлампия Романова: следствие ведет дилетант". Фильм 3, 1 с. (12+).
15.00 Т/с "Мошенники", 1 с. (12+).
16.00 Т/с "Территория красоты", 28 с. (16+).
17.00 Т/с "Территория красоты", 29 с. (16+).
18.00 Т/с "Любовь как любовь", 107 с. (12+).
19.00 Т/с "Любовь как любовь", 108 с. (12+).
20.00 Т/с "Близнецы", 11 с. (16+).
21.00 Т/с "Семь жен одного холостяка", 1 с. (16+).
22.00 Т/с "Евлампия Романова: следствие ведет дилетант". Фильм 3, 1 с. (12+).
23.00 Т/с "Мошенники", 2 с. (12+).
0.00 Т/с "Территория красоты", 29 с. (16+).
1.00 Т/с "Территория красоты", 30 с. (16+).
Профилактика.

Среда, 17 апреля
Профилактика.

9.00 Т/с "Территория красоты", 30 с. (16+).
10.00 Т/с "Любовь как любовь", 108 с. (12+).
11.00 Т/с "Любовь как любовь", 109 с. (12+).
12.00 Т/с "Близнецы", 12 с. (16+).
13.00 Т/с "Семь жен одного холостяка", 2 с. (16+).
14.00 Т/с "Евлампия Романова: следствие ведет дилетант". Фильм 3, 2 с. (12+).
15.00 Т/с "Мошенники", 2 с. (12+).
16.00 Т/с "Территория красоты", 29 с. (16+).
17.00 Т/с "Территория красоты", 30 с. (16+).
18.00 Т/с "Любовь как любовь", 108 с. (12+).
19.00 Т/с "Любовь как любовь", 109 с. (12+).
20.00 Т/с "Близнецы", 12 с. (16+).
21.00 Т/с "Семь жен одного холостяка", 2 с. (16+).
22.00 Т/с "Евлампия Романова: следствие ведет дилетант". Фильм 3, 2 с. (12+).
23.00 Т/с "Мошенники", 3 с. (12+).
0.00 Т/с "Территория красоты", 30 с. (16+).
1.00 Т/с "Территория красоты", 31 с. (16+).
2.00 Т/с "Любовь как любовь", 109 с. (12+).
3.00 Т/с "Любовь как любовь", 110 с. (12+).
4.00 Т/с "Близнецы", 13 с. (16+).
5.00 Т/с "Семь жен одного холостяка", 3 с. (16+).
6.00 Т/с "Евлампия Романова: следствие ведет дилетант". Фильм 3, 3 с. (12+).

Четверг, 18 апреля
7.00 Т/с "Мошенники", 3 с. (12+).
8.00 Т/с "Территория красоты", 30 с. (16+).
9.00 Т/с "Территория красоты", 31 с. (16+).
10.00 Т/с "Любовь как любовь", 109 с. (12+).
11.00 Т/с "Любовь как любовь", 110 с. (12+).
12.00 Т/с "Близнецы", 13 с. (16+).
13.00 Т/с "Семь жен одного холостяка", 3 с. (16+).
14.00 Т/с "Евлампия Романова: следствие ведет дилетант". Фильм 3, 3 с. (12+).
15.00 Т/с "Мошенники", 3 с. (12+).
16.00 Т/с "Территория красоты", 30 с. (16+).
17.00 Т/с "Территория красоты", 31 с. (16+).
18.00 Т/с "Любовь как любовь", 109 с. (12+).
19.00 Т/с "Любовь как любовь", 110 с. (12+).
20.00 Т/с "Близнецы", 13 с. (16+).
21.00 Т/с "Семь жен одного холостяка", 3 с. (16+).
22.00 Т/с "Евлампия Романова: следствие ведет дилетант". Фильм 3, 3 с. (12+).
23.00 Т/с "Мошенники", 4 с. (12+).
0.00 Т/с "Территория красоты", 31 с. (16+).
1.00 Т/с "Территория красоты", 32 с. (16+).
2.00 Т/с "Любовь как любовь", 110 с. (12+).
3.00 Т/с "Любовь как любовь", 111 с. (12+).
4.00 Т/с "Близнецы", 14 с. (16+).
5.00 Т/с "Семь жен одного холостяка", 4 с. (16+).
6.00 Т/с "Евлампия Романова: следствие ведет дилетант". Фильм 3, 4 с. (12+).

Пятница, 19 апреля
7.00 Т/с "Мошенники", 4 с. (12+).
8.00 Т/с "Территория красоты", 31 с. (16+).
9.00 Т/с "Территория красоты", 32 с. (16+).
10.00 Т/с "Любовь как любовь", 110 с. (12+).
11.00 Т/с "Любовь как любовь", 111 с. (12+).
12.00 Т/с "Близнецы", 14 с. (16+).
13.00 Т/с "Семь жен одного холостяка", 4 с. (16+).
14.00 Т/с "Евлампия Романова: следствие ведет дилетант". Фильм 3, 4 с. (12+).
15.00 Т/с "Мошенники", 4 с. (12+).
16.00 Т/с "Территория красоты", 31 с. (16+).
17.00 Т/с "Территория красоты", 32 с. (16+).
18.00 Т/с "Любовь как любовь", 110 с. (12+).
19.00 Т/с "Любовь как любовь", 111 с. (12+).
20.00 Т/с "Близнецы", 14 с. (16+).
21.00 Т/с "Семь жен одного холостяка", 4 с. (16+).
22.00 Т/с "Евлампия Романова: следствие ведет дилетант". Фильм 3, 4 с. (12+).
23.00 Т/с "Мошенники", 5 с. (12+).
0.00 Т/с "Территория красоты", 32 с. (16+).
1.00 Т/с "Территория красоты", 33 с. (16+).
2.00 Т/с "Любовь как любовь", 111 с. (12+).
3.00 Т/с "Любовь как любовь", 112 с. (12+).
4.00 Т/с "Близнецы", 15 с. (16+).
5.00 Т/с "Семь жен одного холостяка", 5 с. (16+).
6.00 Т/с "Клоунов не убивают", 1 с. (16+).

Суббота, 20 апреля
7.00 Т/с "Мошенники", 5 с. (12+).
8.00 Т/с "Территория красоты", 32 с. (16+).
9.00 Т/с "Территория красоты", 33 с. (16+).
10.00 Т/с "Любовь как любовь", 111 с. (12+).
11.00 Т/с "Любовь как любовь", 112 с. (12+).
12.00 Т/с "Близнецы", 15 с. (16+).
13.00 Т/с "Семь жен одного холостяка", 5 с. (16+).
14.00 Т/с "Клоунов не убивают", 1 с. (16+).
15.00 Т/с "Мошенники", 5 с. (12+).
16.00 Т/с "Территория красоты", 32 с. (16+).
17.00 Т/с "Территория красоты", 33 с. (16+).
18.00 Т/с "Любовь как любовь", 111 с. (12+).
19.00 Т/с "Любовь как любовь", 112 с. (12+).
20.00 Т/с "Близнецы", 15 с. (16+).
21.00 Т/с "Семь жен одного холостяка", 5 с. (16+).
22.00 Т/с "Клоунов не убивают", 1 с. (16+).
23.00 Т/с "Мошенники", 6 с. (12+).
0.00 Т/с "Территория красоты", 33 с. (16+).
1.00 Т/с "Территория красоты", 34 с. (16+).
2.00 Т/с "Любовь как любовь", 112 с. (12+).
3.00 Т/с "Любовь как любовь", 113 с. (12+).
4.00 Т/с "Близнецы", 16 с. (16+).
5.00 Т/с "Семь жен одного холостяка", 6 с. (16+).
6.00 Т/с "Клоунов не убивают", 2 с. (16+).

Воскресенье, 21 апреля
7.00 Т/с "Мошенники", 6 с. (12+).
8.00 Т/с "Территория красоты", 33 с. (16+).
9.00 Т/с "Территория красоты", 34 с. (16+).
10.00 Т/с "Любовь как любовь", 112 с. (12+).
11.00 Т/с "Любовь как любовь", 113 с. (12+).
12.00 Т/с "Близнецы", 16 с. (16+).
13.00 Т/с "Семь жен одного холостяка", 6 с. (16+).
14.00 Т/с "Клоунов не убивают", 2 с. (16+).
15.00 Т/с "Мошенники", 6 с. (12+).
16.00 Т/с "Территория красоты", 33 с. (16+).
17.00 Т/с "Территория красоты", 34 с. (16+).
18.00 Т/с "Любовь как любовь", 112 с. (12+).
19.00 Т/с "Любовь как любовь", 113 с. (12+).
20.00 Т/с "Близнецы", 16 с. (16+).
21.00 Т/с "Семь жен одного холостяка", 6 с. (16+).
22.00 Т/с "Клоунов не убивают", 2 с. (16+).
23.00 Т/с "Мошенники", 7 с. (12+).
0.00 Т/с "Территория красоты", 34 с. (16+).
1.00 Т/с "Территория красоты", 35 с. (16+).
2.00 Т/с "Любовь как любовь", 113 с. (12+).
3.00 Т/с "Любовь как любовь", 114 с. (12+).
4.00 Т/с "Близнецы", 17 с. (16+).
5.00 Т/с "Семь жен одного холостяка", 7 с. (16+).
6.00 Т/с "Клоунов не убивают", 3 с. (16+).

